,forecast
2022-04-25,5714672.290000001
2022-05-02,6031244.36
2022-05-09,5976203.680000001
2022-05-16,5736512.62
2022-05-23,6104954.0600000005
2022-05-30,6090010.790000001
2022-06-06,6188923.23
2022-06-13,6276099.990000001
2022-06-20,6451687.49
2022-06-27,6223995.790000001
2022-07-04,6218040.359999999
2022-07-11,6428458.659999999
